MelSpecTime, Prediction Time
-0.40219640731811523,-32.273967027664185
-1.8248639106750488,-3.3082427978515625
-1.5811474323272705,-2.3274667263031006
-1.6567292213439941,-1.202592134475708
-1.1800181865692139,-0.08149027824401855
-0.7305538654327393,-0.05019688606262207
-0.47400975227355957,-0.04517364501953125
-0.6641018390655518,-0.05092024803161621
-0.504568338394165,-0.04338502883911133
-0.8638889789581299,-0.050043344497680664
-0.31082963943481445,-0.047037601470947266
-0.27548861503601074,-0.04489421844482422
-0.8832316398620605,-0.05088376998901367
-0.7140934467315674,-0.049630165100097656
-0.38599061965942383,-0.04376792907714844
-0.2709360122680664,-0.04342484474182129
-0.5389134883880615,-0.05430340766906738
-1.0372495651245117,-0.06054568290710449
-0.4890744686126709,-0.0445256233215332
-0.490476131439209,-0.042453765869140625
-0.4998040199279785,-0.042261600494384766
-0.8088560104370117,-0.0493009090423584
-1.0179400444030762,-0.050779104232788086
-0.4214489459991455,-0.04482865333557129
-0.5869317054748535,-0.05059528350830078
-0.44394993782043457,-0.047180891036987305
-1.111518383026123,-0.05109834671020508
-0.5164620876312256,-0.042650461196899414
-0.9989237785339355,-0.050420284271240234
-0.904041051864624,-0.04940080642700195
-2.215263605117798,-0.05082297325134277
-0.815518856048584,-0.05014681816101074
-0.7322323322296143,-0.05399513244628906
-0.4540560245513916,-0.042690277099609375
-1.0840394496917725,-0.0508420467376709
-0.7666308879852295,-0.0506441593170166
-0.4883394241333008,-0.04379129409790039
-0.32688164710998535,-0.04506063461303711
-1.907886028289795,-0.051444292068481445
-0.4626657962799072,-0.042973995208740234
-0.4355041980743408,-0.042877197265625
-0.6824135780334473,-0.05038642883300781
-0.6547613143920898,-0.04410529136657715
-0.40753984451293945,-0.04262232780456543
-0.43769192695617676,-0.04423117637634277
-0.6807799339294434,-0.04940390586853027
-1.1558949947357178,-0.050187110900878906
-0.456587553024292,-0.04289817810058594
-0.5816483497619629,-0.06192946434020996
-0.3509519100189209,-0.04354429244995117
-0.4507143497467041,-0.04343843460083008
-0.28304076194763184,-0.05076193809509277
-0.27051687240600586,-0.04303765296936035
-0.2712886333465576,-0.0430600643157959
-0.27022695541381836,-0.044191837310791016
-0.2619645595550537,-0.041767120361328125
-0.2697019577026367,-0.04259181022644043
-0.26509761810302734,-0.043144941329956055
-0.26696133613586426,-0.0431516170501709
-0.26880359649658203,-0.04364800453186035
-0.2698373794555664,-0.04436540603637695
-0.26293158531188965,-0.04468131065368652
-0.261751651763916,-0.0437772274017334
-0.26938486099243164,-0.04466748237609863
-0.26659560203552246,-0.04390120506286621
-0.2711598873138428,-0.04447603225708008
-0.27113795280456543,-0.04442858695983887
-0.27048349380493164,-0.04384732246398926
-0.2648591995239258,-0.04328656196594238
-0.26108264923095703,-0.04358220100402832
-0.27051401138305664,-0.0437624454498291
-0.2657151222229004,-0.04538297653198242
-0.2644510269165039,-0.0537874698638916
-0.26464152336120605,-0.0446009635925293
-0.2649974822998047,-0.04422402381896973
-0.2666332721710205,-0.04427814483642578
-0.2606847286224365,-0.04408407211303711
-0.26751255989074707,-0.04441571235656738
-0.2627575397491455,-0.043257713317871094
-0.2653775215148926,-0.0445256233215332
-0.2678658962249756,-0.04480862617492676
-0.26413440704345703,-0.044953107833862305
-0.2654733657836914,-0.04529833793640137
-0.2623934745788574,-0.04416370391845703
-0.26212000846862793,-0.04352998733520508
-0.2615199089050293,-0.044756174087524414
-0.26109981536865234,-0.04451155662536621
-0.26529622077941895,-0.04455161094665527
-0.2651844024658203,-0.04436945915222168
-0.26532530784606934,-0.044702768325805664
-0.2671058177947998,-0.044853925704956055
-0.2644631862640381,-0.044332265853881836
-0.2654154300689697,-0.04474902153015137
-0.26270604133605957,-0.044974327087402344
-0.264873743057251,-0.045079708099365234
-0.2599952220916748,-0.04380154609680176
-0.2644526958465576,-0.04525637626647949
-0.26158785820007324,-0.04514193534851074
-0.2690315246582031,-0.04454326629638672
-0.2619602680206299,-0.0449984073638916
-0.26166725158691406,-0.04399299621582031
-0.26781225204467773,-0.04463028907775879
-0.26471543312072754,-0.04995465278625488
-0.2679264545440674,-0.04278564453125
-0.2689809799194336,-0.04298567771911621
-0.2644779682159424,-0.045127153396606445
-0.2634451389312744,-0.042569637298583984
-0.26441383361816406,-0.04256176948547363
-0.26848649978637695,-0.04269838333129883
-0.2672262191772461,-0.04345440864562988
-0.2687208652496338,-0.044385671615600586
-0.2606377601623535,-0.04461979866027832
-0.26526856422424316,-0.04363608360290527
-0.2660205364227295,-0.04358315467834473
-0.2674832344055176,-0.04429769515991211
-0.26738595962524414,-0.043918609619140625
-0.26630139350891113,-0.044277191162109375
-0.2685079574584961,-0.044098615646362305
-0.26602935791015625,-0.04489874839782715
-0.25923943519592285,-0.0427093505859375
-0.2632911205291748,-0.043849945068359375
-0.2644796371459961,-0.04489016532897949
-0.25811338424682617,-0.04381275177001953
-0.2653162479400635,-0.046042680740356445
-0.2659757137298584,-0.045281171798706055
-0.26663994789123535,-0.04530906677246094
-0.2650113105773926,-0.0446162223815918
-0.26502466201782227,-0.04517555236816406
-0.2669651508331299,-0.04512929916381836
-0.2612297534942627,-0.044167518615722656
-0.2648446559906006,-0.04432272911071777
-0.2632791996002197,-0.04491543769836426
-0.26714277267456055,-0.04519391059875488
-0.2636744976043701,-0.04411005973815918
-0.26464343070983887,-0.04527449607849121
-0.269486665725708,-0.04469799995422363
-0.26133084297180176,-0.04394650459289551
-0.2649672031402588,-0.04483747482299805
-0.27002716064453125,-0.044312238693237305
-0.2685878276824951,-0.04453587532043457
-0.2642824649810791,-0.04331064224243164
-0.26627349853515625,-0.04418063163757324
-0.264324426651001,-0.04447054862976074
-0.26268959045410156,-0.04403877258300781
-0.27406883239746094,-0.04468178749084473
-0.26816868782043457,-0.04519391059875488
-0.2644803524017334,-0.04484248161315918
-0.264554500579834,-0.044385671615600586
-0.26622962951660156,-0.04483294486999512
-0.26120424270629883,-0.043967485427856445
-0.27028751373291016,-0.0446171760559082
-0.2635228633880615,-0.04436779022216797
-0.26413464546203613,-0.04451322555541992
-0.2695128917694092,-0.04958224296569824
-0.2637925148010254,-0.042908668518066406
-0.26511669158935547,-0.04340815544128418
-0.26752781867980957,-0.04527711868286133
-0.268096923828125,-0.04367637634277344
-0.2632110118865967,-0.04365801811218262
-0.2658271789550781,-0.044185638427734375
-0.2704758644104004,-0.044280290603637695
-0.26396942138671875,-0.0443873405456543
-0.26671695709228516,-0.0441281795501709
-0.266005277633667,-0.044065237045288086
-0.26484179496765137,-0.044981956481933594
-0.2677164077758789,-0.04403424263000488
-0.26332998275756836,-0.04536914825439453
-0.25280261039733887,-0.0421299934387207
-0.26833343505859375,-0.04429054260253906
-0.2733156681060791,-0.0439915657043457
-0.26071834564208984,-0.04321694374084473
-0.2682645320892334,-0.04438948631286621
-0.2644517421722412,-0.04413866996765137
-0.26778721809387207,-0.04527568817138672
-0.26821041107177734,-0.044550180435180664
-0.2630014419555664,-0.04491066932678223
-0.2658660411834717,-0.044291019439697266
-0.26247358322143555,-0.043205976486206055
-0.26659536361694336,-0.04633069038391113
-0.2643396854400635,-0.04557657241821289
-0.2647840976715088,-0.04479026794433594
-0.26348876953125,-0.04457855224609375
-0.2656857967376709,-0.044838666915893555
-0.26720166206359863,-0.04497337341308594
-0.26497745513916016,-0.044469356536865234
-0.26544857025146484,-0.0447695255279541
-0.2669963836669922,-0.043810129165649414
-0.2673354148864746,-0.04415702819824219
-0.2665114402770996,-0.04446005821228027
-0.26546788215637207,-0.048163652420043945
-0.2679934501647949,-0.044626712799072266
-0.26373863220214844,-0.04474306106567383
-0.2612588405609131,-0.0436856746673584
-0.26319241523742676,-0.04441571235656738
-0.26307082176208496,-0.04459834098815918
-0.26632142066955566,-0.04485797882080078
-0.2673940658569336,-0.04447603225708008
-0.2640113830566406,-0.04392552375793457
-0.2669839859008789,-0.04442548751831055
-0.2575862407684326,-0.042261362075805664
-0.2642951011657715,-0.045168399810791016
-0.2654085159301758,-0.04421567916870117
-0.26836490631103516,-0.04436445236206055
-0.26203012466430664,-0.04460620880126953
-0.2628333568572998,-0.04915881156921387
-0.26543688774108887,-0.042969465255737305
-0.26796627044677734,-0.04221010208129883
-0.2656693458557129,-0.044902801513671875
-0.26740503311157227,-0.04312872886657715
-0.2539670467376709,-0.042067527770996094
-0.2625463008880615,-0.043654680252075195
-0.2617166042327881,-0.04654073715209961
-0.2631034851074219,-0.04335904121398926
-0.26445579528808594,-0.04471635818481445
-0.2627253532409668,-0.04454755783081055
-0.2639150619506836,-0.0449521541595459
-0.2673168182373047,-0.04449653625488281
-0.2677903175354004,-0.04460906982421875
-0.2698657512664795,-0.04568123817443848
-0.26422739028930664,-0.04394102096557617
-0.26177382469177246,-0.043401241302490234
-0.26674699783325195,-0.04456448554992676
-0.2649509906768799,-0.044188499450683594
-0.2630808353424072,-0.04465818405151367
-0.2671997547149658,-0.04523777961730957
-0.26670217514038086,-0.04405784606933594
-0.2643718719482422,-0.04433012008666992
-0.2682318687438965,-0.044042110443115234
-0.2679882049560547,-0.044100046157836914
-0.261765718460083,-0.04375457763671875
-0.26696038246154785,-0.044445037841796875
-0.2616279125213623,-0.04369521141052246
-0.26506614685058594,-0.0447993278503418
-0.26648592948913574,-0.04468393325805664
-0.2643473148345947,-0.0443112850189209
-0.2614724636077881,-0.04383063316345215
-0.26384687423706055,-0.04453301429748535
-0.26622438430786133,-0.0437471866607666
-0.2670271396636963,-0.04410862922668457
-0.26534056663513184,-0.0446779727935791
-0.2665102481842041,-0.045104265213012695
-0.26656126976013184,-0.04461073875427246
-0.2568652629852295,-0.04323530197143555
-0.2672121524810791,-0.045055389404296875
-0.2679402828216553,-0.04441523551940918
-0.2632317543029785,-0.0446319580078125
-0.26923251152038574,-0.04434680938720703
-0.2655940055847168,-0.044466257095336914
-0.2667510509490967,-0.04486393928527832
-0.2672853469848633,-0.044899940490722656
-0.2691376209259033,-0.04481101036071777
-0.26171159744262695,-0.04496335983276367
-0.25907349586486816,-0.043204307556152344
-0.26799440383911133,-0.04530668258666992
-0.2668724060058594,-0.0452425479888916
-0.27770447731018066,-0.055725812911987305
-0.26485133171081543,-0.04328131675720215
-0.26954126358032227,-0.04399251937866211
-0.26460981369018555,-0.044975996017456055
-0.2662177085876465,-0.044275760650634766
-0.26941585540771484,-0.044477224349975586
-0.26848268508911133,-0.04417610168457031
-0.2544858455657959,-0.04175996780395508
-0.26396942138671875,-0.04392552375793457
-0.2673170566558838,-0.044504642486572266
-0.2716867923736572,-0.04407906532287598
-0.26271486282348633,-0.04393720626831055
-0.2684288024902344,-0.044846534729003906
-0.2672238349914551,-0.04492926597595215
-0.26689696311950684,-0.04526925086975098
-0.2662160396575928,-0.04468655586242676
-0.2645752429962158,-0.04369831085205078
-0.2665588855743408,-0.044428348541259766
-0.26637935638427734,-0.04453778266906738
-0.2690460681915283,-0.04486513137817383
-0.26950931549072266,-0.04407215118408203
-0.2649984359741211,-0.04455971717834473
-0.2605767250061035,-0.04307389259338379
-0.25970959663391113,-0.04257988929748535
-0.2700357437133789,-0.04493880271911621
-0.2656841278076172,-0.04555988311767578
-0.26540517807006836,-0.04431772232055664
-0.2589888572692871,-0.04259920120239258
-0.25853466987609863,-0.04314303398132324
-0.2647819519042969,-0.04483747482299805
-0.2647521495819092,-0.04342293739318848
-0.2639734745025635,-0.044189453125
-0.26528048515319824,-0.043769121170043945
-0.25740480422973633,-0.04227423667907715
-0.27246642112731934,-0.04759407043457031
-0.26827049255371094,-0.04642200469970703
-0.26313138008117676,-0.047067880630493164
-0.2725989818572998,-0.04488825798034668
-0.25711512565612793,-0.04302692413330078
-0.26027441024780273,-0.04396247863769531
-0.2596397399902344,-0.04420280456542969
-0.26465821266174316,-0.04475760459899902
-0.26735448837280273,-0.04499197006225586
-0.2632293701171875,-0.04517817497253418
-0.26729846000671387,-0.044327735900878906
-0.264174222946167,-0.04418230056762695
-0.2663540840148926,-0.04432964324951172
-0.2616598606109619,-0.045027732849121094
-0.2639608383178711,-0.04473757743835449
-0.26612305641174316,-0.04510903358459473
-0.2658073902130127,-0.04501962661743164
-0.2730116844177246,-0.05019807815551758
-0.2654736042022705,-0.042313575744628906
-0.26682329177856445,-0.04308462142944336
-0.27769970893859863,-0.06702041625976562
-0.28726816177368164,-0.04987764358520508
-0.2870962619781494,-0.0495142936706543
-0.27708983421325684,-0.04642009735107422
-0.49576377868652344,-0.04677748680114746
-0.2700505256652832,-0.04656481742858887
-0.2672119140625,-0.04956459999084473
-0.26294803619384766,-0.04892253875732422
-0.27446746826171875,-0.04661965370178223
-0.27632927894592285,-0.05417442321777344
-0.02366161346435547,-0.05540037155151367
-0.30291199684143066,-0.05295705795288086
-0.2818286418914795,-0.05475187301635742
-0.2713472843170166,-0.04729652404785156
-0.2737312316894531,-0.05182385444641113
-0.27053189277648926,-0.05057239532470703
-0.27040910720825195,-0.05043482780456543
-0.27240610122680664,-0.048204898834228516
-0.2705216407775879,-0.047908782958984375
-0.27158212661743164,-0.05119919776916504
-0.26901721954345703,-0.050037384033203125
